k,method,variant,purity,entropy
5,KMeans,Baseline,0.41216151103401755,4.773916907303093
5,BisectingKMeans,Baseline,0.4148597860653368,4.938843443520055
6,KMeans,Baseline,0.45918859015129615,4.281257771486263
6,BisectingKMeans,Baseline,0.4269056567408692,5.247645941587338
7,KMeans,Baseline,0.4562012142237641,3.808910604054635
7,BisectingKMeans,Baseline,0.43798785776235905,5.233494233562481
8,KMeans,Baseline,0.4135106485496772,3.3793759874534994
8,BisectingKMeans,Baseline,0.44039703189746554,5.171045786034903
5,KMeans,Pos + worknet,0.5255854293148309,4.019318553656209
5,BisectingKMeans,Pos + worknet,0.49455526645465936,4.722967877113393
6,KMeans,Pos + worknet,0.5268381998650863,3.6821410208082845
6,BisectingKMeans,Pos + worknet,0.49455526645465936,4.164521006840304
7,KMeans,Pos + worknet,0.5232726221451286,3.9493727839846073
7,BisectingKMeans,Pos + worknet,0.5107449166425749,4.280623172806716
8,KMeans,Pos + worknet,0.5253926953840223,2.8705040806150004
8,BisectingKMeans,Pos + worknet,0.5107449166425749,4.50363180623412
5,KMeans,Pos + worknet + stem,0.5326202177893418,3.5671912999817135
5,BisectingKMeans,Pos + worknet + stem,0.5499662715621085,4.594496269077694
6,KMeans,Pos + worknet + stem,0.5336802544087886,3.1707855033046233
6,BisectingKMeans,Pos + worknet + stem,0.5499662715621085,3.855253568656591
7,KMeans,Pos + worknet + stem,0.5333911535125759,2.9210742873227664
7,BisectingKMeans,Pos + worknet + stem,0.566830490507854,4.077890870197543
8,KMeans,Pos + worknet + stem,0.5325238508239376,2.853611675586074
8,BisectingKMeans,Pos + worknet + stem,0.5704924351932158,4.235178894703372
